UF,faixa_etaria,total_populacao
Acre,60 anos e mais,78416
Acre,de 0 a 14 anos,221160
Acre,de 15 a 29 anos,224784
Acre,de 30 a 59 anos,305658
Alagoas,60 anos e mais,409221
Alagoas,de 0 a 14 anos,711691
Alagoas,de 15 a 29 anos,759755
Alagoas,de 30 a 59 anos,1247016
Amapá,60 anos e mais,61916
Amapá,de 0 a 14 anos,198176
Amapá,de 15 a 29 anos,200435
Amapá,de 30 a 59 anos,273232
Amazonas,60 anos e mais,356982
Amazonas,de 0 a 14 anos,1075426
Amazonas,de 15 a 29 anos,1063019
Amazonas,de 30 a 59 anos,1446186
Bahia,60 anos e mais,2159279
Bahia,de 0 a 14 anos,2863071
Bahia,de 15 a 29 anos,3174682
Bahia,de 30 a 59 anos,5944594
Ceará,60 anos e mais,1290533
Ceará,de 0 a 14 anos,1802435
Ceará,de 15 a 29 anos,2070180
Ceará,de 30 a 59 anos,3631809
Distrito Federal,60 anos e mais,365090
Distrito Federal,de 0 a 14 anos,534233
Distrito Federal,de 15 a 29 anos,660674
Distrito Federal,de 30 a 59 anos,1257384
Espírito Santo,60 anos e mais,631398
Espírito Santo,de 0 a 14 anos,741496
Espírito Santo,de 15 a 29 anos,811486
Espírito Santo,de 30 a 59 anos,1649332
Goiás,60 anos e mais,964417
Goiás,de 0 a 14 anos,1431289
Goiás,de 15 a 29 anos,1627589
Goiás,de 30 a 59 anos,3033200
Maranhão,60 anos e mais,821961
Maranhão,de 0 a 14 anos,1645580
Maranhão,de 15 a 29 anos,1703431
Maranhão,de 30 a 59 anos,2605727
Mato Grosso,60 anos e mais,430479
Mato Grosso,de 0 a 14 anos,829686
Mato Grosso,de 15 a 29 anos,864067
Mato Grosso,de 30 a 59 anos,1534417
Mato Grosso do Sul,60 anos e mais,391091
Mato Grosso do Sul,de 0 a 14 anos,606792
Mato Grosso do Sul,de 15 a 29 anos,621841
Mato Grosso do Sul,de 30 a 59 anos,1137289
Minas Gerais,60 anos e mais,3659936
Minas Gerais,de 0 a 14 anos,3707919
Minas Gerais,de 15 a 29 anos,4426257
Minas Gerais,de 30 a 59 anos,8745877
Paraná,60 anos e mais,1893120
Paraná,de 0 a 14 anos,2195297
Paraná,de 15 a 29 anos,2496695
Paraná,de 30 a 59 anos,4859268
Paraíba,60 anos e mais,615328
Paraíba,de 0 a 14 anos,826921
Paraíba,de 15 a 29 anos,893666
Paraíba,de 30 a 59 anos,1638772
Pará,60 anos e mais,876332
Pará,de 0 a 14 anos,1990942
Pará,de 15 a 29 anos,2100629
Pará,de 30 a 59 anos,3152228
Pernambuco,60 anos e mais,1332159
Pernambuco,de 0 a 14 anos,1894679
Pernambuco,de 15 a 29 anos,2079231
Pernambuco,de 30 a 59 anos,3752862
Piauí,60 anos e mais,493899
Piauí,de 0 a 14 anos,681934
Piauí,de 15 a 29 anos,758510
Piauí,de 30 a 59 anos,1336856
Rio Grande do Norte,60 anos e mais,497891
Rio Grande do Norte,de 0 a 14 anos,654658
Rio Grande do Norte,de 15 a 29 anos,755428
Rio Grande do Norte,de 30 a 59 anos,1394752
Rio Grande do Sul,60 anos e mais,2193416
Rio Grande do Sul,de 0 a 14 anos,1906510
Rio Grande do Sul,de 15 a 29 anos,2207936
Rio Grande do Sul,de 30 a 59 anos,4575103
Rio de Janeiro,60 anos e mais,3025629
Rio de Janeiro,de 0 a 14 anos,2856146
Rio de Janeiro,de 15 a 29 anos,3321915
Rio de Janeiro,de 30 a 59 anos,6851484
Rondônia,60 anos e mais,196046
Rondônia,de 0 a 14 anos,348152
Rondônia,de 15 a 29 anos,372629
Rondônia,de 30 a 59 anos,664369
Roraima,60 anos e mais,50460
Roraima,de 0 a 14 anos,186208
Roraima,de 15 a 29 anos,171286
Roraima,de 30 a 59 anos,228753
Santa Catarina,60 anos e mais,1184393
Santa Catarina,de 0 a 14 anos,1423210
Santa Catarina,de 15 a 29 anos,1678213
Santa Catarina,de 30 a 59 anos,3324545
Sergipe,60 anos e mais,294609
Sergipe,de 0 a 14 anos,469501
Sergipe,de 15 a 29 anos,526722
Sergipe,de 30 a 59 anos,919172
São Paulo,60 anos e mais,7650568
São Paulo,de 0 a 14 anos,7975163
São Paulo,de 15 a 29 anos,9374648
São Paulo,de 30 a 59 anos,19410859
Tocantins,60 anos e mais,188921
Tocantins,de 0 a 14 anos,350986
Tocantins,de 15 a 29 anos,366420
Tocantins,de 30 a 59 anos,605133
